totmou,creditcd,eqpdays,Customer_ID
10369,N,198,1055172
176,Y,1121,1006223
10227,Y,500,1057695
293,Y,408,1055498
28228,N,175,1035849
11915,Y,228,1052776
11218,Y,13,1080979
71,Y,198,1096953
9891,Y,288,1017192
2443,Y,41,1057649
11940,N,776,1025580
1005,Y,725,1033727
12571,N,676,1020389
3138,Y,193,1095059
1705,Y,569,1031092
3005,Y,1045,1007025
4115,Y,97,1093205
7739,Y,544,1040422
1701,Y,504,1044645
1873,N,374,1061517
3580,Y,211,1015533
5550,Y,675,1020430
7722,Y,320,1079122
16787,Y,405,1073746
9406,Y,383,1059857
513,N,534,1035552
13477,N,777,1009778
18698,N,610,1019236
1832,Y,771,1026030
2228,Y,272,1088924
2821,N,362,1085161
16055,Y,447,1050744
22358,N,191,1024718
2189,N,495,1058824
959,Y,25,1074541
331,N,507,1044265
16079,Y,234,1012204
30744,Y,396,1007984
11173,N,682,1029607
216,N,253,1078433
35613,Y,105,1002619
1162,N,432,1050920
5557,N,185,1086639
3094,Y,733,1032524
1648,N,206,1094469
3250,Y,327,1089547
576,Y,212,1078984
2884,Y,734,1023989
1910,Y,119,1026898
9608,N,8,1075560
3005,Y,241,1030527
5351,Y,990,1007748
4154,Y,461,1042656
1859,Y,403,1074063
1611,Y,310,1082548
36644,Y,399,1065069
5556,Y,522,1047480
4932,N,214,1065051
1319,Y,229,1075065
688,Y,233,1088350
2504,,495,1045521
3774,Y,1050,1001932
5738,Y,573,1026798
7067,N,18,1071222
4713,Y,546,1045008
3494,Y,454,1066125
3223,Y,194,1097055
238,Y,319,1090433
7233,Y,239,1006388
14967,Y,52,1071057
496,Y,261,1083624
12032,Y,-3,1039062
14528,Y,348,1006422
2529,Y,426,1046324
11658,N,473,1041363
16408,N,675,1029681
1977,Y,347,1066152
728,Y,804,1018300
6616,Y,433,1059030
3995,Y,492,1018980
11464,N,556,1039221
4189,Y,166,1022995
10224,Y,490,1051131
2357,N,359,1085773
15342,Y,643,1027191
10511,N,900,1008888
867,Y,397,1075392
7659,Y,694,1035670
3867,Y,330,1068435
3455,Y,95,1057755
20286,Y,650,1003786
35575,N,110,1020752
2247,N,188,1067870
2432,N,315,1080605
4248,Y,437,1099334
492,Y,376,1068450
4298,Y,62,1054066
1875,Y,98,1042885
1354,Y,317,1065402
14334,Y,370,1005411
2234,Y,235,1088085
4472,Y,8,1087888
1922,Y,301,1092224
11601,Y,340,1088306
8200,Y,31,1046760
611,Y,1258,1098102
3802,Y,200,1036553
934,Y,530,1041879
7428,N,234,1088241
2670,Y,339,1064715
469,N,237,1092474
442,N,351,1072414
321,N,200,1096855
2080,Y,740,1030345
5741,Y,334,1057302
8297,Y,425,1070297
280,Y,602,1033802
13353,Y,201,1083101
3710,Y,244,1083107
7313,Y,322,1069709
5791,Y,608,1034736
16284,Y,580,1047699
3978,Y,159,1003041
22700,N,199,1069086
1241,Y,736,1031618
5748,Y,679,1030534
6706,N,277,1067275
3755,N,205,1091134
3177,Y,242,1019071
17245,Y,336,1028216
2405,Y,197,1096980
6142,Y,559,1033407
15284,N,4,1036707
1638,Y,569,1031169
10323,Y,11,1016046
35754,Y,813,1017671
3125,Y,303,1063027
6113,Y,686,1037262
3213,N,361,1063689
3127,Y,461,1064926
4879,Y,400,1012613
3284,Y,128,1055424
2838,N,310,1082424
2871,Y,400,1056712
2680,Y,306,1084123
16529,N,170,1056945
6794,Y,708,1017425
3993,Y,483,1060351
4784,Y,763,1011689
21534,N,182,1049457
4666,N,351,1065467
19756,Y,308,1018270
4714,N,356,1064705
11798,Y,536,1035416
3911,Y,452,1055842
2062,Y,729,1024391
15190,N,57,1066999
20553,N,48,1007332
13828,N,515,1043981
2235,Y,281,1077541
2613,Y,934,1097679
2926,Y,305,1062662
8141,Y,306,1077297
45447,Y,115,1002013
16700,Y,330,1068448
16509,Y,1170,1003795
12225,Y,82,1024220
5644,Y,132,1088995
9147,Y,364,1084884
13138,Y,550,1034322
9891,Y,122,1064729
655,N,199,1083897
6790,N,427,1015137
2855,Y,351,1051380
9630,N,393,1057764
11215,Y,125,1011113
8379,N,175,1009905
1548,N,274,1079311
8639,Y,83,1031281
5071,Y,52,1050678
821,Y,371,1034511
5031,Y,364,1099670
5868,Y,139,1038669
24468,N,322,1078621
2596,Y,126,1089748
3038,Y,148,1072942
7696,Y,418,1047165
19771,Y,196,1015789
7258,N,248,1086436
8000,Y,518,1043233
2140,Y,727,1016106
2799,Y,730,1015970
14896,Y,481,1052205
6202,Y,678,1030822
5846,Y,345,1073424
2489,Y,495,1026134
2861,Y,295,1064429
7487,Y,464,1030157
6317,N,352,1065412
6806,Y,673,1032256
1997,Y,264,1082406
6417,N,95,1063175
9038,Y,648,1027652
4567,Y,447,1050824
10073,Y,390,1074795
6958,Y,505,1038366
4811,N,1101,1007489
13727,Y,327,1058486
8752,Y,318,1090520
2599,N,351,1065512
2576,Y,592,1035941
3178,N,185,1097488
242,Y,341,1074162
2860,N,799,1023699
18123,Y,48,1024103
3268,Y,324,1069367
1641,Y,940,1009771
12627,Y,129,1022453
12209,Y,91,1035132
1650,N,20,1037072
306,Y,699,1027106
1150,Y,727,1000785
5520,Y,868,1014283
1904,Y,290,1035477
10504,Y,60,1087543
2050,Y,493,1045676
4789,Y,309,1091501
13374,Y,358,1064221
5530,Y,396,1049364
29,Y,689,1019091
30000,Y,689,1023906
10440,Y,504,1008422
7443,Y,1100,1007567
3461,Y,778,1020796
76260,,361,1001813
4070,Y,682,1019935
1687,Y,74,1032539
7868,Y,386,1078031
5283,Y,239,1067422
12667,N,442,1050577
4512,Y,70,1091266
1206,Y,334,1088872
1047,Y,638,1041810
6882,Y,277,1030346
2147,N,486,1044230
5757,Y,13,1027304
5045,Y,430,1067140
14611,,705,1017656
2154,N,131,1024124
1557,N,295,1064472
9206,N,111,1041213
10206,N,992,1009534
10808,N,175,1035526
9876,N,372,1043720
22072,Y,288,1020073
6162,Y,995,1007377
31747,Y,391,1042128
10529,Y,430,1035814
2307,Y,251,1005730
1010,N,342,1066788
14880,Y,483,1017744
5811,Y,189,1096486
8359,Y,367,1084183
8253,Y,81,1050240
1311,N,346,1055472
7168,N,131,1070376
8352,N,95,1092860
1239,Y,260,1077764
2256,N,371,1082770
56464,N,177,1016407
5508,Y,337,1075124
14881,N,230,1069133
24601,N,421,1027315
4167,Y,234,1073848
4523,,119,1096542
4778,Y,409,1037162
9729,Y,25,1018653
15880,N,345,1055646
2714,Y,1076,1008664
1248,,295,1086331
10157,Y,1019,1009116
9884,Y,13,1037309
19270,Y,226,1038579
1266,Y,233,1074168
14592,N,99,1041407
10345,N,1,1087633
2129,Y,247,1071743
7972,N,571,1048684
114,Y,292,1064918
5013,Y,364,1084796
40721,N,660,1021576
6603,Y,549,1031052
4481,Y,574,1042140
4211,N,38,1054125
5975,N,458,1054882
5645,Y,707,1018139
9533,Y,53,1019593
13466,Y,246,1086592
4474.02,Y,616,1000398
15497,Y,371,1052441
12401,N,351,1028714
4201,Y,674,1032046
9299,N,228,1096024
4796,Y,334,1075808
7619,Y,736,1023880
4508,Y,322,1090135
462,Y,792,1012974
12505,N,470,1048051
4782,Y,252,1081483
10567,Y,635,1030002
12412,N,781,1016603
230,Y,1067,1098739
2201,N,325,1069208
2023,Y,517,1047927
6493,N,483,1061215
1853,Y,507,1049122
5751,Y,91,1010948
3469,N,847,1013257
16052,N,465,1004085
16764,Y,516,1037393
2042,Y,200,1083443
2827,N,276,1067409
1055,Y,384,1059638
607,Y,263,1094482
5862,Y,732,1015855
19589,N,176,1087379
1025,Y,406,1063745
3841,N,384,1078325
4841,Y,286,1047520
2808,N,338,1056729
5456,Y,44,1069917
9425,N,383,1067472
15395,Y,231,1074622
1481,Y,531,1041817
7844,N,85,1025747
3659,Y,740,1020240
4040,Y,144,1046882
5196,Y,73,1086792
10451,N,329,1058076
9490,Y,493,1059172
3279,N,405,1055888
2722,N,483,1051993
2898,Y,206,1091118
2089,Y,1182,1002837
9840,Y,495,1039182
2769,N,588,1046960
5297,Y,478,1058333
923,Y,441,1051501
15086,N,213,1066029
3878,N,185,1026507
4481,Y,754,1014707
902,Y,713,1022227
3373,Y,315,1070770
1591,Y,274,1094080
11850,Y,204,1038104
738,N,262,1083416
6688.02,Y,1500,1001133
2248,N,184,1086805
5160,N,368,1059238
2435,Y,283,1039146
1722,Y,325,1089728
2411,N,39,1089425
6608,N,54,1088126
12082,Y,854,1015104
19842,N,387,1001979
1451,Y,716,1099161
4965,Y,462,1042497
984,Y,1090,1005263
2052,Y,184,1089543
1629,,290,1075263
2006,Y,555,1033795
282,Y,420,1046945
9989,Y,456,1024084
2863,Y,260,1090242
5038,Y,11,1085363
5290,N,127,1075691
25943,Y,48,1011005
22629,N,91,1019312
3725,N,205,1026740
5369,N,336,1075421
3906,Y,608,1097773
2022,Y,584,1036711
7304,N,264,1050752
2866,N,748,1014989
5352,Y,865,1018329
431,Y,264,1089792
4077,Y,793,1019547
844,Y,336,1057010
4209,Y,93,1054387
1212,Y,668,1038869
10534,N,138,1009505
3537,Y,376,1080558
12644,Y,114,1080576
23120,Y,341,1008625
6208,N,198,1084152
9927,Y,71,1062316
2347,N,251,1095203
11288,Y,344,1022624
655,Y,240,1095708
4234,N,936,1007136
6853,Y,237,1047884
11792,N,282,1066629
7737,Y,423,1061002
11478,Y,447,1003382
5637,Y,310,1049509
18583,N,246,1007850
1484,Y,325,1059006
7428,Y,271,1020287
12960,Y,635,1023350
14181,Y,239,1025393
8807,Y,25,1087920
28732,Y,287,1066703
2655,Y,425,1053373
1965,Y,202,1082720
5726,Y,1315,1098201
8347,N,188,1095329
20492,Y,504,1057033
11452,Y,136,1078876
1206,Y,985,1007985
3651,Y,247,1071708
10709,N,218,1084093
4185,Y,188,1092708
2228,Y,220,1096240
9001,Y,762,1014189
12678,N,872,1097652
14431,Y,769,1017509
341,Y,308,1083308
618,Y,418,1061881
12122,Y,54,1016934
658,Y,374,1081326
13273,N,535,1053006
8658,N,388,1077428
67399.05667,Y,299,1000211
4904,Y,532,1032517
23,Y,14,1096976
2574,Y,355,1071730
60040,Y,367,1000957
11070,Y,56,1031126
4936,Y,209,1001602
9072,Y,326,1069138
4265,N,300,1073252
3234,N,302,1084991
7835,Y,687,1019269
9534,Y,374,1081583
2777,Y,613,1025069
718,N,359,1063342
2714,Y,970,1012561
2014,N,682,1024492
5123,Y,415,1062255
5681,Y,221,1076927
1970,Y,127,1084350
3885,Y,411,1063017
2754,Y,832,1013832
1425,Y,439,1057703
6020,Y,625,1043167
4626,N,205,1081693
5799,Y,597,1030440
7376,Y,711,1017251
9019,Y,614,1044211
12005,N,0,1044974
3053,N,244,1095528
12932,N,522,1047507
3670,N,479,1040723
11699,N,259,1025315
15861,N,112,1075197
15927,Y,500,1049910
10430,Y,579,1028648
2692,Y,213,1077127
17248,N,486,1013725
11035,Y,304,1091963
2809,Y,481,1040562
5407,Y,131,1009884
9323,Y,568,1031370
10130,N,330,1058035
5425,,91,1093201
4929,Y,227,1075511
1078,Y,311,1082120
10208,Y,339,1074609
2883,,89,1017717
2419,Y,310,1061814
2735,,508,1027781
2424,Y,404,1073784
4447,N,241,1087651
2475,Y,319,1060313
7627,Y,168,1033216
1172,N,780,1016709
14230,N,182,1001452
373,Y,611,1025224
45242,Y,238,1003734
2563,Y,650,1027483
950,Y,295,1092742
5188,Y,437,1013135
3980,N,111,1076969
5374,N,437,1068574
917,Y,373,1081810
380,Y,585,1027744
12,Y,82,1086747
1493,Y,795,1013756
2437,N,518,1037073
6416,Y,97,1033738
4614,Y,147,1039785
18859,Y,174,1004658
2466,Y,393,1076337
4188,Y,953,1006174
376,Y,225,1089089
5982,Y,345,1073469
4970,N,362,1085213
10705,Y,814,1017574
3871,Y,382,1051113
4951,Y,510,1009578
2048,Y,366,1069978
10117,Y,558,1033513
4212,Y,326,1023196
7325,Y,809,1001487
258,N,258,1084660
4946,Y,743,1029644
13445,Y,636,1036119
95,,589,1027292
1618,N,494,1050684
7440,N,241,1087631
5431,Y,857,1099405
5178,Y,378,1079987
13117,Y,228,1036133
9986,Y,322,1059643
8900,N,520,1047576
10495,N,64,1040919
3787,N,2,1076965
2809,Y,866,1018261
2039.016667,Y,1479,1000672
11749,Y,124,1070707
13501,N,143,1064812
4649,Y,11,1031353
9704,N,426,1060566
4011,N,101,1090002
5004,Y,765,1016239
11669,Y,142,1032487
11493,Y,171,1072070
5580,Y,404,1048538
1454,N,184,1086866
7378,Y,625,1043217
14636,N,433,1014824
2550,Y,318,1053953
4249,Y,429,1032541
6526,Y,157,1018701
15077,Y,319,1090388
1698,Y,365,1062986
11284,N,120,1050042
656,Y,929,1098960
5743,Y,469,1063413
21108,Y,99,1073117
4759,Y,802,1097663
10783,N,457,1049379
18307,Y,85,1018901
5407,Y,539,1019514
8111,Y,613,1044297
3386,Y,730,1014679
16477,Y,124,1045383
7843,N,369,1015265
10831,Y,133,1092602
9395,,683,1024369
4575,N,362,1070508
3343,Y,30,1027419
3014,Y,287,1065829
3518,Y,404,1048495
5972,Y,264,1089744
10260,Y,695,1018390
4319,Y,310,1071492
2607,,310,1082758
15218,Y,469,1045499
6142,,311,1091319
11788,N,329,1058221
16056,N,367,1069830
9862,Y,679,1030474
1630,Y,228,1075383
27080,Y,390,1024268
6205,Y,838,1013565
6775,Y,274,1043665
4471,Y,265,1056584
16488.01667,Y,226,1000072
2125,Y,616,1026843
1788,Y,793,1024129
5855,Y,455,1043286
4253,Y,376,1061234
33518.12667,Y,456,1000368
1709,N,322,1069579
432,Y,625,1037171
2125,Y,751,1026995
8761,Y,315,1080723
10775,Y,173,1029189
897,Y,486,1031188
10452,Y,787,1020133
9024,N,312,1081973
2041,N,59,1018668
2394,Y,396,1064764
4478,N,227,1096064
3388,N,609,1025430
23353,Y,184,1023874
3132,Y,1134,1003559
410,N,273,1079356
6281,Y,219,1077334
15428,N,392,1024722
4113,N,628,1023845
17025,Y,98,1046359
9088,Y,134,1067640
16688,Y,118,1035287
5509,,43,1009168
5708,Y,56,1012528
12709,Y,359,1028716
4038,Y,389,1043384
14815,N,670,1038657
862,Y,699,1027156
4070,Y,369,1052687
23502,Y,393,1006629
2485,Y,52,1083468
9848,Y,258,1090444
16582,Y,291,1021351
2268,Y,680,1020074
6566,N,560,1050126
3529,Y,337,1083350
2897,Y,316,1070165
3084,Y,223,1072459
1306,N,562,1031740
10938,Y,569,1038111
9241,Y,362,1053417
10041,Y,248,1098372
2583,Y,393,1076356
4703,N,233,1074103
3056,Y,508,1048945
18644,N,131,1064445
5227,Y,165,1058018
4719,Y,575,1029517
4042,Y,206,1021062
10894,Y,332,1036149
29,Y,986,1007908
1562,N,213,1096403
8948,Y,93,1071238
3262,N,478,1062017
17386,Y,103,1075783
33119,N,-5,1040523
3537,N,30,1055422
27398,Y,239,1006240
4845,N,426,1046225
5765,N,451,1007421
13759,N,523,1042601
6659,N,718,1016693
7324.03,Y,1538,1000931
1054,N,554,1039463
4819,N,190,1085702
2084,N,220,1089539
7285,Y,403,1056193
3414,Y,301,1062490
7566,N,559,1033400
1005,N,768,1017605
9326,N,306,1062384
7553,Y,721,1021647
10302,Y,853,1013004
874,Y,204,1082023
14020,Y,495,1045459
5267,Y,378,1080140
6856,N,451,1066585
9146,N,330,1068578
4106,Y,291,1093040
7419,,340,1074482
4467,N,445,1044226
9243,Y,93,1072979
3554,Y,293,1074677
324,Y,274,1021121
729,Y,270,1080466
7991,N,794,1012904
12070,Y,632,1030731
1424,Y,319,1079402
7510,N,330,1052520
13004,Y,946,1011167
10477,N,160,1070517
3354,Y,903,1012860
2604,Y,339,1088434
23,Y,371,1082344
8809,Y,279,1093798
1636,N,281,1093702
18430,,689,1023944
3918,Y,216,1083342
9823,Y,750,1019203
3541,Y,197,1091917
1921,Y,256,1084946
12037,Y,139,1039294
11831,N,10,1037327
17714,Y,526,1018289
3255,N,331,1068387
1323,Y,303,1092070
3841,Y,343,1055931
2142,Y,310,1071555
17574,N,69,1068835
7436,N,476,1041047
1701,N,343,1088025
27106,N,445,1045731
1375,Y,188,1086071
1464,N,391,1076820
7718,N,221,1017319
6949,N,198,1084223
10,Y,456,1055309
7352,N,626,1043055
8310,Y,246,1021794
6795,N,748,1019378
15693,N,609,1044843
994,Y,251,1071161
1637,Y,540,1035159
7414,N,173,1033198
4956,Y,803,1018463
46274,Y,247,1015474
5791,N,277,1088462
13401,N,679,1020152
7147,N,-4,1090059
5274,Y,638,1029288
4701,N,351,1065505
427,Y,215,1093973
1736,Y,291,1065084
4003,N,45,1062420
57170.05,Y,180,1001696
10846,N,186,1035807
8032,N,253,1045258
4631,N,237,1095795
9660,N,212,1042409
1100,Y,233,1074316
13349,N,1229,1002031
3608,Y,15,1034355
10022,Y,93,1015594
8378,Y,309,1091503
2777,Y,218,1093844
2751,N,474,1023294
6719,Y,374,1081405
7373,N,443,1026553
16655,N,179,1040204
2462,Y,624,1037335
1955,N,310,1067238
2190,N,207,1094427
2673,Y,230,1074880
2851,Y,296,1073857
8689,N,287,1087588
4851,Y,1021,1004447
9114,Y,374,1081767
3248,Y,331,1048921
2234,,377,1080310
12199,N,4,1096154
4379,Y,47,1042914
22582,Y,483,1035152
18036,Y,370,1054601
6073,Y,494,1030490
8037,Y,143,1012877
2040,N,261,1047095
2102,Y,913,1015251
5863,N,140,1081192
255,Y,326,1077779
8807,N,288,1093337
5412,Y,423,1060968
8307,N,639,1010603
6553,Y,81,1020189
2411,Y,205,1091171
5458,Y,-4,1082715
704,Y,919,1010511
9516,Y,360,1038199
4217,N,398,1048526
1710,Y,373,1068926
1316,N,410,1047854
5684,Y,328,1077152
2328,Y,336,1075381
6141,Y,418,1047086
7695,Y,308,1013846
4598,Y,14,1013574
3678,Y,426,1046053
6579,N,474,1062695
7049,Y,681,1020015
8318,Y,863,1018513
14825,N,268,1030786
13416,Y,745,1029063
15023,Y,507,1049057
842,Y,367,1069759
3318,Y,61,1068061
12015,N,430,1069500
2722,Y,327,1068956
18247,N,586,1036484
33,Y,575,1041970
15128,Y,309,1091428
4066,N,325,1077937
3558,N,616,1043997
5138,Y,543,1034930
5589,Y,922,1008024
10012,N,33,1020153
15541,N,765,1013197
2821,N,654,1040142
434,N,404,1056074
5153,Y,381,1067773
35764.02,Y,11,1000334
8832,N,81,1060007
2833,N,5,1056980
2702,Y,882,1013661
563,Y,305,1091894
6230,N,245,1087132
847,Y,224,1089158
140,Y,401,1074529
1646,Y,284,1076761
6288,N,202,1047629
5008,N,885,1099615
4090,Y,125,1019429
1551,Y,958,1010730
10958,N,429,1069685
23055,Y,140,1007480
6336,Y,388,1077531
2269,N,18,1052722
2869,Y,464,1048673
30108,,185,1011727
2514,Y,580,1028386
4985,Y,547,1034574
21361,Y,791,1018960
17304,Y,4,1036875
6950,Y,387,1058971
8521,N,436,1045166
7665,Y,384,1025353
18365,Y,579,1003569
11771,Y,556,1039228
2654,Y,666,1039021
4171,N,319,1079350
4106,N,345,1073427
1322,Y,1201,1098223
26853,N,200,1014442
11708,Y,746,1007787
9662,Y,339,1043072
4320,N,293,1074797
870,N,322,1090109
14511,N,417,1007907
4804,Y,305,1037622
9215,Y,81,1030241
1640,Y,334,1057265
4308,,156,1071900
2479,N,187,1095357
6501,N,3,1086860
5977,Y,91,1077990
9209,Y,324,1069407
2250,N,258,1048462
4446,Y,507,1056719
4829,Y,800,1023644
7557,N,375,1081152
1736,Y,518,1047837
13713,Y,708,1026264
4989,Y,88,1053573
6804,N,306,1084211
5470,Y,234,1093259
1919,N,930,1007629
1618,Y,1313,1001890
657,N,2,1069915
3435,Y,196,1096997
2559,N,212,1090389
3766,Y,246,1019470
1091,N,744,1023336
6858,Y,400,1074635
6323,N,591,1041863
32074,N,259,1010710
2711,N,793,1019018
13386,N,488,1032867
1228,N,329,1068643
15282,Y,951,1013356
2154,Y,330,1076815
2707,Y,325,1089823
6570,Y,363,1080757
20438,Y,545,1051847
9049,N,376,1061229
12017,Y,34,1019094
9405,N,293,1092920
1367,Y,875,1017581
6479,Y,254,1070567
4799,Y,350,1072533
6708,Y,176,1028363
4353,Y,74,1033361
752,Y,250,1045650
17149,Y,156,1037985
5041,Y,580,1041454
3691,N,771,1026107
2976,Y,296,1064122
19757,Y,69,1048098
16761,Y,313,1069129
14174,N,316,1043962
1226,Y,316,1080212
5342,N,219,1089641
15583,N,153,1018664
742,N,190,1092520
6926,N,383,1059791
12543,N,781,1016646
3181,Y,568,1031323
3103,Y,347,1073181
32060,Y,94,1037296
739,Y,536,1052845
17776,N,663,1026182
18779,Y,401,1028743
1572,Y,543,1014959
5628,Y,288,1049062
2878,N,317,1080162
4125,Y,12,1021841
3404,Y,169,1053343
8845,N,93,1063977
2803,Y,206,1080926
6086,N,118,1093864
10616,Y,288,1011351
4459,Y,327,1058620
7442,N,725,1016256
1291,Y,769,1013861
11701,N,399,1049032
9934,N,496,1039109
1243,N,198,1094809
447,N,182,1097583
3373,Y,98,1061315
2326,Y,662,1026312
4491,N,497,1058448
7398,Y,698,1027169
10411,Y,463,1025068
221,N,500,1057747
4008,Y,674,1031947
11663,Y,125,1077782
4455,Y,170,1065328
5507,N,279,1044898
802,Y,400,1049724
863,Y,502,1049679
1965,Y,394,1013513
5754,Y,394,1041201
10533,Y,344,1052084
16007,Y,346,1073360
8975,Y,217,1024323
8229,N,365,1035504
3836,N,756,1027579
11777,,484,1060964
15935,Y,605,1021376
16497,Y,122,1038947
1228,Y,231,1055197
2732,Y,253,1073209
561,N,193,1090666
21586,Y,685,1028748
10306,Y,311,1091303
802,Y,510,1037946
11859,N,176,1034237
4940,Y,517,1047947
2747,Y,309,1082940
3426,Y,259,1084562
246,Y,229,1088621
9207,Y,123,1003014
6168,N,344,1066520
8515,Y,701,1035810
2108,Y,471,1063134
6275,Y,496,1002493
29008,Y,96,1010189
3282,Y,445,1067341
2292,N,249,1060843
12124,Y,619,1043763
4979,Y,1102,1007374
2036,N,439,1013164
7046,Y,12,1072200
5140,N,353,1086851
3579,N,280,1077829
1143,Y,672,1037881
14042,Y,236,1092600
23809,,149,1099646
792,Y,334,1057307
30584,Y,313,1091009
10979,Y,232,1098280
1514,Y,355,1054305
9370,N,238,1073224
1691,N,649,1022340
19891,Y,648,1040804
6978,Y,309,1083039
5238,Y,1013,1008743
48,Y,831,1021356
5744,Y,819,1022254
2811,Y,879,1011918
734,Y,302,1085070
4141,Y,251,1085901
9104,Y,321,1059415
1902,N,818,1022311
29062,N,78,1080749
8607,N,66,1039305
8564,Y,12,1021913
6079,N,197,1092027
5883,Y,398,1011884
4282,Y,673,1032183
238,N,290,1075284
5845,Y,460,1065220
7949,N,126,1068141
7011,N,408,1073058
7975,N,118,1026475
1270,Y,345,1073494
3917,N,418,1047122
3658,N,209,1015941
2325,Y,1114,1098329
748,Y,246,1071982
252,Y,283,1076934
4118,N,697,1027377
7429,N,350,1087481
4887,N,473,1047759
5740,Y,77,1071218
2130,Y,379,1079739
1295,Y,230,1074971
7589,N,89,1031008
10318,Y,158,1029622
9293,,19,1019370
8387,Y,290,1075324
8618,Y,347,1073200
996,N,377,1068363
623,Y,310,1071468
6269,N,356,1099839
925,Y,998,1004868
13099,N,11,1035356
3798,Y,83,1032650
3276,Y,753,1018904
